Name,Division,Season,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Florida Panthers,Atlantic,2023-24,29.5,82,52,24,6,110,.671,265,198,0.81,-0.02,3.23,2.41,63,268,23.51,51,291,82.47,8,9,2764,7.2,2279,.935,100.6,8,7.2,.935,100.6,4212,3288,56.2,166.2,144.8,156,119,16,1889,1550,54.9,673,545,55.3,51,7.0,57,9.5
Boston Bruins,Atlantic,2023-24,28.6,82,47,20,15,109,.665,263,221,0.53,0.01,3.21,2.70,54,243,22.22,47,268,82.46,7,6,2399,8.9,2504,.934,102.3,5,8.9,.934,102.3,3550,3896,47.7,169.7,163.4,174,135,33,1706,1819,48.4,615,634,49.2,81,11.6,76,10.7
Toronto Maple Leafs,Atlantic,2023-24,28.9,82,46,26,10,102,.622,298,261,0.50,0.01,3.63,3.18,57,238,23.95,55,238,76.89,6,9,2671,8.9,2446,.917,100.5,5,8.9,.917,100.5,4102,3869,51.5,191.4,163.7,200,168,4,2005,1816,52.5,734,659,52.7,81,9.9,67,9.2
Tampa Bay Lightning,Atlantic,2023-24,29.1,82,45,29,8,98,.598,288,267,0.28,0.00,3.51,3.26,71,248,28.63,39,234,83.33,5,6,2401,8.6,2430,.909,99.5,4,8.6,.909,99.5,3845,3681,51.1,167.7,166.6,171,190,-20,1786,1720,50.9,614,622,49.7,69,10.1,74,10.6
Detroit Red Wings,Atlantic,2023-24,29.3,82,41,32,9,91,.555,275,273,0.06,0.02,3.35,3.33,63,273,23.08,49,240,79.58,7,10,2375,9.2,2657,.915,100.7,4,9.2,.915,100.7,3550,4089,46.5,150.6,177.0,177,189,14,1570,1906,45.2,504,668,43.0,71,12.3,74,10.0
Buffalo Sabres,Atlantic,2023-24,25.7,82,39,37,6,84,.512,244,243,0.03,0.01,2.98,2.96,37,223,16.59,49,243,79.84,7,10,2534,8.1,2402,.920,100.1,5,8.1,.920,100.1,3920,3734,51.2,168.0,172.8,174,159,20,1794,1867,49.0,580,698,45.4,57,8.9,63,8.3
Ottawa Senators,Atlantic,2023-24,27.0,82,37,41,4,78,.476,250,281,-0.28,0.04,3.05,3.43,51,283,18.02,61,245,75.10,7,6,2602,7.7,2432,.909,98.6,2,7.7,.909,98.6,3977,3827,51.0,166.7,163.9,163,192,-32,1782,1767,50.2,670,634,51.4,75,10.1,66,9.4
Montreal Canadiens,Atlantic,2023-24,26.7,82,30,36,16,76,.463,232,281,-0.59,0.05,2.83,3.43,44,252,17.46,65,277,76.53,7,12,2269,8.4,2738,.925,100.9,2,8.4,.925,100.9,3581,4159,46.3,157.6,174.5,160,164,13,1611,1997,44.7,575,716,44.5,73,11.3,59,7.6
New York Rangers,Metropolitan,2023-24,29.1,82,55,23,4,114,.695,278,226,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,2582,7.8,2418,.921,99.9,6,7.8,.921,99.9,3959,3874,50.5,169.0,167.8,166,165,0,1855,1834,50.3,605,657,47.9,55,8.3,73,10.0
Carolina Hurricanes,Metropolitan,2023-24,29.4,82,52,23,7,111,.677,277,211,0.73,-0.04,3.38,2.57,67,249,26.91,35,258,86.43,11,8,2733,7.3,2101,.919,99.3,8,7.3,.919,99.3,4699,3119,60.1,172.8,151.5,169,146,2,2011,1452,58.1,713,529,57.4,61,7.9,58,9.9
